id,versions,displayName,abbreviation
13,"[{'id': 282, 'md5': 'A42E31D875D0573BA858DE365628F608', 'sha1': '992DA7FAC9248204CDDCDF2E37412007359603BA', 'name': 'Solstice - The Quest for the Staff of Demnos (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 3910, 'md5': '27E991E670337A3736B3E2FCABBB136E', 'sha1': '2931A37CFCAA7D2E4BAFD5A2FF7084E0C2A5212E', 'name': 'Solstice (E) [!].nes', 'type': 1, 'region': 'E', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Solstice: The Quest for the Staff of Demnos,solstice
15,"[{'id': 628, 'md5': '7f38210a8a2befb8d347523b4ff6ae7c', 'sha1': '20e50128742162ee47561db9e82b2836399c880c', 'name': 'Super Mario Bros. 2 (Japan) (En).fds', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'FDS', 'sourceDb': None}, {'id': 629, 'md5': 'f62909ad7125ed94ef0fc1d44164a518', 'sha1': '08927227b6ff67f42e759505d176cd924931bd14', 'name': 'Super Mario Bros. 2 (Japan) (En) (DV 2).fds', 'type': 1, 'region': 'J', 'version': 'DV2', 'systemCode': 'FDS', 'sourceDb': None}, {'id': 630, 'md5': 'ae0e141a620985d8f9caf7a1b20215fb', 'sha1': '3208414cbca6d2439255eae246e3d20a9fe9eb5c', 'name': 'Super Mario Bros. 2 (Japan) (En) (DV 2) [b].fds', 'type': 3, 'region': 'J', 'version': 'DV2', 'systemCode': 'FDS', 'sourceDb': None}, {'id': 631, 'md5': '22fb94f65325b50c028c8b57ba4a0338', 'sha1': '1969f790300a24128d377e1503dc2c8410fa1834', 'name': 'Super Mario Bros. 2 (J) [PocketNES Level Select by Loopy].nes', 'type': 2, 'region': 'W', 'version': 'PocketNES + Level Select patch (Unapproved)', 'systemCode': 'FDS', 'sourceDb': None}, {'id': 4898, 'md5': '882bb4e73658d38483078fa227d58183', 'sha1': '3b8c8998b4887d6dd676965943d69a320738ab9c', 'name': 'Super Mario Bros. 2 (1986)(Nintendo).fds', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'FDS', 'sourceDb': None}, {'id': 5172, 'md5': '57cf5de00c3736919576cb804b985f57', 'sha1': 'e1a0f76486b153541d9e043dfd8a3c98ac206ca7', 'name': 'Super Mario Bros 2 (Lost Levels) (Unl).nes', 'type': 5, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Super Mario Bros. 2,smb2j
17,"[{'id': 883, 'md5': 'BB5C4B6D4D78C101F94BDB360AF502F3', 'sha1': 'A03E7E526E79DF222E048AE22214BCA2BC49C449', 'name': 'Super Mario Bros. 3 (U) (PRG0) [!].nes', 'type': 1, 'region': 'U', 'version': 'PRG0', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4537, 'md5': '86D1982FEA7342C0AF9679DDF3869D8D', 'sha1': '6BD518E85EB46A4252AF07910F61036E84B020D1', 'name': 'Super Mario Bros. 3 (U) (PRG1) [!].nes', 'type': 1, 'region': 'U', 'version': 'PRG1', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4538, 'md5': 'A64E0142986CBB806F8775DA877185A8', 'sha1': '931B506948D517333712A05C0F3BA2D187345C7C', 'name': 'Super Mario Bros. 3 (J) (PRG1) [!].nes', 'type': 1, 'region': 'J', 'version': 'PRG1', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 5230, 'md5': '009E6473AC69E07DB9B5A3F9CFE6B5C7', 'sha1': None, 'name': 'Lost Levels (patch)', 'type': 0, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Super Mario Bros. 3,smb3
18,"[{'id': 169, 'md5': '0e40bc1b049c16c5d7246cc28399cb5d', 'sha1': '376836361f404c815d404e1d5903d5d11f4eff0e', 'name': 'Contra (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 633, 'md5': 'd306c54ccfdf5cb4f8ec588f19b3e33d', 'sha1': 'be9dd65be8db897978dd34533dd3a037784a8ee9', 'name': 'Contra (J).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}, {'id': 2884, 'md5': '7bdad8b4a7a56a634c9649d20bd3011b', 'sha1': 'c9ea66bb7cb30ad5343f1721b1d4d3219859319b', 'name': 'Contra (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}, {'id': 2885, 'md5': '2686c4b168a7e82bdb2c6fb3061fcbfd', 'sha1': '0103887f489bcce044c73ad49057a714753b0517', 'name': 'Contra (KC).nes', 'type': 1, 'region': 'U', 'version': ""Konami Collector's Series"", 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}, {'id': 3810, 'md5': '7127f616c13b58087481dd9e93aeb2ff', 'sha1': '6531ff3a062c2a83fa9683bf8a859a3500e8d9af', 'name': 'Probotector (E) [!]', 'type': 1, 'region': 'E', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 5029, 'md5': '337eb76fc979a62961837a2cb258a6cd', 'sha1': '8e9c886ab94ce5fd17a875f4bb0cfdd47daa6bf9', 'name': 'Contra (J) [T+Eng1.0_MadHacker].nes', 'type': 2, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Contra,nes-contra
19,"[{'id': 2479, 'md5': '5FEF80625F484FCA06FDB58EBFF9D8BB', 'sha1': '32F706C6222E7EC877C08A1ADC6B7C7BBB69F3DA', 'name': 'Super C (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}, {'id': 4347, 'md5': '78F97D58AF93493976E810D02B40FA30', 'sha1': '38C4288F31CDACFC5E563A3809CD235127ADAE7E', 'name': 'Super C (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 5008, 'md5': 'ED30D3DD32D5D8F88D11A90ADD2B4CEB', 'sha1': '5DE393E3AD83E6E185E6D338684D7A4475B7D2CE', 'name': 'Super Contra (J).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Super C,superc
20,"[{'id': 1324, 'md5': 'D77C8053168DA14B360BF5CAECCC5964', 'sha1': 'ECF39EC5A33E6A6F832F03E8FFC61C5D53F4F90B', 'name': 'Metroid (U) (PRG0) [!].nes', 'type': 1, 'region': 'U', 'version': 'PRG0', 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Metroid,metroid
21,"[{'id': 980, 'md5': 'FCC019DC8054403FD28B8DE03D7E16AA', 'sha1': '17D740E1E79350E1F0A6565908767E8585606A98', 'name': 'Gradius (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNes3.23'}, {'id': 2886, 'md5': '5E6719B309A9F522135E5B889F326F4C', 'sha1': '2EA97AA8031AE5A22BC171FE959751CC09410CDF', 'name': 'Gradius (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Gradius,gradius
22,"[{'id': 1691, 'md5': '780FFDCB1ECF18A090719704A7C35F0B', 'sha1': 'D2A36CAF2740EBD67B36AB0E243EBF9BB79C3635', 'name': 'Hinotori - Houou Hen - Gaou no Bouken (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Hi no Tori: Gaou no Bouken,hinotori
23,"[{'id': 2883, 'md5': '14207AEB5B0AC4D2BC8DB09313403E37', 'sha1': 'B3119ACC91D558C24A8412FF6FD03C40CA9715D1', 'name': 'Atlantis no Nazo (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}]",Atlantis no Nazo,atlnonaz
24,"[{'id': 1994, 'md5': '460656799B0CDA992A3CBFBD944F6FC5', 'sha1': '19002258DD263115930528DCD42EB0D63FC9A5D5', 'name': 'Super Turrican (E) [!]', 'type': 1, 'region': 'E', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Super Turrican,sprturic
25,"[{'id': 4849, 'md5': '7D774124D8FE1ED4A21F6CC8A34AA800', 'sha1': '1FC0EE2265A49974F99DFFA92802C2331DE86D93', 'name': 'Little Nemo - The Dream Master (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Little Nemo: The Dream Master,litlnemo
26,"[{'id': 842, 'md5': '34FD4014AFD15B562D7100F641F900AB', 'sha1': '4B5720BC6E0590C9372CFBD0C418F8EFD4D0C96D', 'name': 'DuckTales (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 4848, 'md5': '7DB6B0FA709A7F1B67FA3D9390C07376', 'sha1': 'B658806CE8C8D24B64AA56A7E59FE1B211C7427B', 'name': 'Duck Tales (E) [!]', 'type': 1, 'region': 'E', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",DuckTales,nes-ducktales
27,"[{'id': 1340, 'md5': 'EE092394B1E64B8BEE7CA54C3DC7FAAD', 'sha1': '76093EA07A16FDAA8AA58730FD29B4977A264B5E', 'name': 'DuckTales 2', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",DuckTales 2,ducktal2
28,"[{'id': 2025, 'md5': '163A1D2F069E15A3023DAB1830B6D5D1', 'sha1': '7B3CC145CFDB80AAC8E1A005A3E36C9C16A56EA9', 'name': 'Gremlins 2: The New Batch', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 4850, 'md5': 'A91149A6D88C9EEA2157095ACAB286CE', 'sha1': 'E327E3E3814F0EA008D347EEEE1B72E378ABB857', 'name': 'Gremlins 2 - The New Batch (U) [b1]', 'type': 3, 'region': 'U', 'version': '[b1]', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Gremlins 2: The New Batch,nes-gremlins-2
29,"[{'id': 2120, 'md5': '5809D2EBF32CE8F89C0720A83A0FEB8B', 'sha1': '8CFEF634A4402C858D73FC426817386BE9BE8F65', 'name': 'Rygar (E) [!].nes', 'type': 1, 'region': 'E', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}, {'id': 3663, 'md5': '527CC09AB3A503372ABBBF567B76DB46', 'sha1': 'A495DD96E798DEE9CE14BCCA7B6B44E93280DB50', 'name': 'Rygar (U) (PRG1) [!].nes', 'type': 1, 'region': 'U', 'version': 'PRG1', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Rygar,rygar
30,"[{'id': 2030, 'md5': '785B8003D146CDCC9F3DF1C29EA18EAD', 'sha1': '39A5FDB7EFD4425A8769FD3073B00DD85F6CD574', 'name': ""Chip 'n Dale Rescue Rangers (U) [!]"", 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Chip 'n Dale: Rescue Rangers,chipdale
31,"[{'id': 1379, 'md5': 'E78EB3226A9E09113BE319FEE1A84F4D', 'sha1': 'A60BA28ACA558FE3527D46B0DF33BDD038D4C635', 'name': ""Chip 'n Dale Rescue Rangers 2 (U) [!]"", 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Chip 'n Dale: Rescue Rangers 2,chipdal2
32,"[{'id': 364, 'md5': '61179C6ADF36A6C056AB384B03C53404', 'sha1': '8F2F7D70AB38FA203651972C7BD4A0CCA3638162', 'name': 'Bionic Commando (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 3790, 'md5': '8417E256EB37B5099642571E0A084BAE', 'sha1': 'EFE084182014BF0FC984C6DF076BEB8849495157', 'name': 'Hitler no Fukkatsu - Top Secret (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Bionic Commando,nes-bionic-commando
33,"[{'id': 1832, 'md5': '407B5151F2642523CBA218F927926E9C', 'sha1': '275244538589393B552B159AB1D380090C8E8996', 'name': 'Journey to Silius (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Journey to Silius,journsil
34,"[{'id': 2344, 'md5': 'D459BAE7337C21CE0D380EFA86CBBDE9', 'sha1': 'C35EA6624D37D57953E4C06197BE5C54931A7139', 'name': 'Shadow of the Ninja (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 3782, 'md5': '8B5ADDCBACAB0DBCF58B3DBC8A311F6F', 'sha1': '02469509DDDC10DFF4E452DD4037020F353D228D', 'name': 'Kage (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 3783, 'md5': 'DE6DDBE889CAC4D26D9CBA56FCC8F1F6', 'sha1': '9D8F02DDD6CA574C0F0F8D6C77693C24E26B907D', 'name': 'Blue Shadow (E) [!].nes', 'type': 1, 'region': 'E', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Shadow of the Ninja,shadotn
35,"[{'id': 2216, 'md5': '6C55461FA24A94A2C95B504B43944DD2', 'sha1': 'DF8425D96B3AC613EEC604D66B32E91B001488D0', 'name': 'Track & Field (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4843, 'md5': '67C19977A0430E3B5A1C670636794A0A', 'sha1': '830D9875C723A15FB322B4F12A750F618268E80B', 'name': 'Track & Field in Barcelona (E) [!]', 'type': 1, 'region': 'E', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Track & Field,track-and-field
36,"[{'id': 373, 'md5': '294E4FA092DB8E29D83F71E137D1F99F', 'sha1': 'A8612A36D9D2739D2B321B6EBB97C2757CCCA410', 'name': 'River City Ransom (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",River City Ransom,rcr
37,"[{'id': 1492, 'md5': '00D418519D02D55848596F525ED15D18', 'sha1': '1AF2C83B4724EFBFAC7FCA00FAB7F7A8E100CACA', 'name': 'Shadowgate (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Shadowgate,shadgate
38,"[{'id': 1510, 'md5': '75B924155CAFEE335C9EA7A01BFC8EFB', 'sha1': '53197445E137E47A73FD4876B87E288ED0FED5C6', 'name': 'Megaman III (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4851, 'md5': '85944FB58B6AFC53F8D20B8C1E19A0AB', 'sha1': 'E82C532DE36C6A5DEAF08C6248AEA434C4D8A85A', 'name': 'Rockman 3 - Dr. Wily no Saigo! (J) [!]', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Mega Man 3,mm3
39,"[{'id': 2316, 'md5': '7521EB54199F73CB04E1CCDD15CA971D', 'sha1': '2AE9A049DAFC8C7577584B4B9256F7EF8932B29C', 'name': 'Megaman IV (U) (PRG0) [!]', 'type': 1, 'region': 'U', 'version': 'PRG0', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Mega Man 4,mm4
40,"[{'id': 2401, 'md5': 'D7D22BF9EDFB16469975F7F4D8DA518F', 'sha1': '1748E9B6ECFF0C01DD14ECC7A48575E74F88B778', 'name': 'Megaman V (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Mega Man 5,mm5
